GEOID,County,Neighborhood_type,categorical_average
06037300100,Los Angeles,50+ NL White,Above Average
06037620601,Los Angeles,Other,Zero Day Count
06037291210,Los Angeles,Other,Zero Day Count
06037573902,Los Angeles,50+ NL White,Zero Day Count
06037571502,Los Angeles,Other,Zero Day Count
06037570003,Los Angeles,Other,Zero Day Count
06037603301,Los Angeles,Other,Zero Day Count
06037603500,Los Angeles,50+ Latino,Zero Day Count
06037554516,Los Angeles,Other,Zero Day Count
06037554517,Los Angeles,Other,Zero Day Count
06037554201,Los Angeles,50+ Latino,Zero Day Count
06037554802,Los Angeles,Other,Zero Day Count
06037542401,Los Angeles,50+ Latino,Zero Day Count
06037543502,Los Angeles,50+ Latino,Zero Day Count
06037600702,Los Angeles,Other,Zero Day Count
06037532102,Los Angeles,70+ Latino,Below/Equal Average
06037277200,Los Angeles,Other,Zero Day Count
06037128302,Los Angeles,50+ Latino,Below/Equal Average
06037276500,Los Angeles,50+ NL White,Zero Day Count
06037553601,Los Angeles,70+ Latino,Below/Equal Average
06037551900,Los Angeles,50+ Latino,Below/Equal Average
06037240700,Los Angeles,70+ Latino,Zero Day Count
06037434001,Los Angeles,70+ Latino,Above Average
06037123104,Los Angeles,50+ Latino,Above Average
06037534201,Los Angeles,70+ Latino,Below/Equal Average
06037534404,Los Angeles,70+ Latino,Zero Day Count
06037532700,Los Angeles,70+ Latino,Zero Day Count
06037238310,Los Angeles,70+ Latino,Zero Day Count
06037531602,Los Angeles,70+ Latino,Below/Equal Average
06037533603,Los Angeles,70+ Latino,Zero Day Count
06037540902,Los Angeles,Other,Zero Day Count
06037231210,Los Angeles,50+ Latino,Zero Day Count
06037229100,Los Angeles,70+ Latino,Zero Day Count
06037600501,Los Angeles,Other,Zero Day Count
06037534700,Los Angeles,70+ Latino,Zero Day Count
06037601900,Los Angeles,70+ Latino,Zero Day Count
06037575401,Los Angeles,70+ Latino,Zero Day Count
06037576401,Los Angeles,70+ Latino,Zero Day Count
06037576501,Los Angeles,Other,Zero Day Count
06037101220,Los Angeles,Other,Above Average
06037293304,Los Angeles,50+ Latino,Zero Day Count
06037271300,Los Angeles,50+ NL White,Zero Day Count
06037218110,Los Angeles,50+ Latino,Zero Day Count
06037407301,Los Angeles,70+ Latino,Above Average
06037481102,Los Angeles,Other,Above Average
06037480803,Los Angeles,50+ Latino,Above Average
06037481300,Los Angeles,Other,Above Average
06037463000,Los Angeles,Other,Above Average
06037214700,Los Angeles,70+ NL White,Zero Day Count
06037191610,Los Angeles,50+ Latino,Below/Equal Average
06037191810,Los Angeles,50+ Latino,Below/Equal Average
06037191620,Los Angeles,50+ Latino,Below/Equal Average
06037190902,Los Angeles,50+ Latino,Below/Equal Average
06037187300,Los Angeles,50+ NL White,Below/Equal Average
06037137502,Los Angeles,50+ NL White,Below/Equal Average
06037302302,Los Angeles,Other,Below/Equal Average
06037104620,Los Angeles,70+ Latino,Above Average
06037302002,Los Angeles,50+ NL White,Below/Equal Average
06037301204,Los Angeles,50+ NL White,Below/Equal Average
06037405900,Los Angeles,50+ Latino,Above Average
06037123303,Los Angeles,50+ Latino,Below/Equal Average
06037920041,Los Angeles,Other,Above Average
06037123204,Los Angeles,70+ Latino,Below/Equal Average
06037123205,Los Angeles,70+ Latino,Below/Equal Average
06037121600,Los Angeles,Other,Below/Equal Average
06037120030,Los Angeles,70+ Latino,Below/Equal Average
06037910602,Los Angeles,50+ Latino,Above Average
06037405001,Los Angeles,70+ Latino,Above Average
06037117404,Los Angeles,Other,Below/Equal Average
06037113234,Los Angeles,50+ Latino,Above Average
06037311100,Los Angeles,50+ NL White,Above Average
06037222600,Los Angeles,Other,Zero Day Count
06037310701,Los Angeles,50+ NL White,Above Average
06037134520,Los Angeles,70+ Latino,Below/Equal Average
06037134101,Los Angeles,50+ Latino,Below/Equal Average
06037127920,Los Angeles,50+ NL White,Below/Equal Average
06037107010,Los Angeles,70+ Latino,Above Average
06037482301,Los Angeles,Other,Above Average
06037481604,Los Angeles,Other,Below/Equal Average
06037213401,Los Angeles,70+ Latino,Zero Day Count
06037212410,Los Angeles,50+ Latino,Zero Day Count
06037481714,Los Angeles,Other,Below/Equal Average
06037211410,Los Angeles,Other,Below/Equal Average
06037236400,Los Angeles,Other,Zero Day Count
06037208902,Los Angeles,70+ Latino,Zero Day Count
06037402501,Los Angeles,70+ Latino,Above Average
06037228900,Los Angeles,70+ Latino,Zero Day Count
06037227020,Los Angeles,70+ Latino,Zero Day Count
06037204410,Los Angeles,70+ Latino,Zero Day Count
06037530902,Los Angeles,70+ Latino,Below/Equal Average
06037702201,Los Angeles,50+ NL White,Zero Day Count
06037222500,Los Angeles,50+ Latino,Zero Day Count
06037701501,Los Angeles,50+ NL White,Zero Day Count
06037219300,Los Angeles,50+ Latino,Zero Day Count
06037113237,Los Angeles,Other,Above Average
06037117101,Los Angeles,Other,Above Average
06037124204,Los Angeles,50+ Latino,Below/Equal Average
06037104704,Los Angeles,70+ Latino,Above Average
06037127603,Los Angeles,70+ Latino,Below/Equal Average
06037139001,Los Angeles,50+ NL White,Below/Equal Average
06037402804,Los Angeles,70+ Latino,Above Average
06037461902,Los Angeles,Other,Above Average
06037125501,Los Angeles,50+ NL White,Above Average
06037189201,Los Angeles,50+ NL White,Below/Equal Average
06037195803,Los Angeles,Other,Below/Equal Average
06037207103,Los Angeles,Other,Zero Day Count
06037405302,Los Angeles,50+ Latino,Above Average
06037502004,Los Angeles,70+ Latino,Above Average
06037134904,Los Angeles,Other,Below/Equal Average
06037211704,Los Angeles,Other,Below/Equal Average
06037221304,Los Angeles,50+ Latino,Zero Day Count
06037237401,Los Angeles,70+ Latino,Zero Day Count
06037554203,Los Angeles,50+ Latino,Zero Day Count
06037191301,Los Angeles,Other,Below/Equal Average
06037265602,Los Angeles,70+ NL White,Zero Day Count
06037272201,Los Angeles,Other,Zero Day Count
06037302505,Los Angeles,50+ NL White,Below/Equal Average
06037199201,Los Angeles,50+ Latino,Below/Equal Average
06037209103,Los Angeles,70+ Latino,Zero Day Count
06037216402,Los Angeles,50+ NL White,Zero Day Count
06037221401,Los Angeles,Other,Zero Day Count
06037237101,Los Angeles,70+ Latino,Zero Day Count
06037267403,Los Angeles,50+ NL White,Zero Day Count
06037408139,Los Angeles,70+ Latino,Above Average
06037124902,Los Angeles,Other,Below/Equal Average
06037570403,Los Angeles,70+ Latino,Zero Day Count
06037104822,Los Angeles,70+ Latino,Above Average
06037550601,Los Angeles,70+ Latino,Below/Equal Average
06037104203,Los Angeles,70+ Latino,Above Average
06037901009,Los Angeles,Other,Above Average
06037910606,Los Angeles,70+ Latino,Above Average
06037600304,Los Angeles,50+ Latino,Zero Day Count
06037701304,Los Angeles,70+ NL White,Zero Day Count
06037602505,Los Angeles,50+ Latino,Zero Day Count
06037650004,Los Angeles,Other,Zero Day Count
06037651102,Los Angeles,Other,Zero Day Count
06037481711,Los Angeles,Other,Below/Equal Average
06037603802,Los Angeles,50+ Latino,Zero Day Count
06037554204,Los Angeles,50+ Latino,Zero Day Count
06037132301,Los Angeles,50+ Latino,Below/Equal Average
06037104322,Los Angeles,70+ Latino,Above Average
06037271804,Los Angeles,50+ NL White,Zero Day Count
06037224702,Los Angeles,Other,Zero Day Count
06037224701,Los Angeles,Other,Zero Day Count
06037207308,Los Angeles,50+ NL White,Zero Day Count
06037207306,Los Angeles,Other,Zero Day Count
06037206054,Los Angeles,70+ Latino,Zero Day Count
06037264303,Los Angeles,70+ NL White,Zero Day Count
06037209105,Los Angeles,70+ Latino,Zero Day Count
06037214504,Los Angeles,Other,Zero Day Count
06037207307,Los Angeles,Other,Zero Day Count
06037408900,Los Angeles,Other,Above Average
06037431701,Los Angeles,Other,Above Average
06037602512,Los Angeles,Other,Zero Day Count
06037980012,Los Angeles,50+ Latino,Below/Equal Average
06037910405,Los Angeles,70+ Latino,Above Average
06037900807,Los Angeles,Other,Above Average
06037910719,Los Angeles,70+ Latino,Above Average
06037189704,Los Angeles,70+ NL White,Below/Equal Average
06037189501,Los Angeles,70+ NL White,Below/Equal Average
06037431004,Los Angeles,50+ Latino,Above Average
06037137202,Los Angeles,50+ NL White,Below/Equal Average
06037577700,Los Angeles,50+ Latino,Zero Day Count
06037603007,Los Angeles,Other,Zero Day Count
06037570306,Los Angeles,50+ Latino,Zero Day Count
06037620802,Los Angeles,70+ NL White,Zero Day Count
06037134802,Los Angeles,Other,Below/Equal Average
06037555105,Los Angeles,Other,Zero Day Count
06037551204,Los Angeles,70+ Latino,Below/Equal Average
06037131023,Los Angeles,50+ Latino,Below/Equal Average
06037243001,Los Angeles,70+ Latino,Zero Day Count
06037119004,Los Angeles,70+ Latino,Below/Equal Average
06037232701,Los Angeles,70+ Latino,Zero Day Count
06037232602,Los Angeles,70+ Latino,Zero Day Count
06037273404,Los Angeles,70+ NL White,Zero Day Count
06037980030,Los Angeles,Other,Zero Day Count
06037542200,Los Angeles,50+ Latino,Zero Day Count
06037601801,Los Angeles,70+ Latino,Zero Day Count
06037530301,Los Angeles,70+ Latino,Below/Equal Average
06037433804,Los Angeles,70+ Latino,Above Average
06037430802,Los Angeles,Other,Above Average
06037405702,Los Angeles,50+ Latino,Above Average
06037135202,Los Angeles,50+ NL White,Below/Equal Average
06037135201,Los Angeles,50+ NL White,Below/Equal Average
06037920313,Los Angeles,Other,Above Average
06037131100,Los Angeles,Other,Below/Equal Average
06037920328,Los Angeles,50+ NL White,Above Average
06037111100,Los Angeles,Other,Above Average
06037128500,Los Angeles,50+ NL White,Below/Equal Average
06037264000,Los Angeles,70+ NL White,Zero Day Count
06037214800,Los Angeles,50+ NL White,Zero Day Count
06037212800,Los Angeles,Other,Zero Day Count
06037404903,Los Angeles,50+ Latino,Above Average
06037482702,Los Angeles,Other,Below/Equal Average
06037532101,Los Angeles,70+ Latino,Below/Equal Average
06037212204,Los Angeles,70+ Latino,Zero Day Count
06037211910,Los Angeles,50+ Latino,Below/Equal Average
06037211320,Los Angeles,50+ Latino,Below/Equal Average
06037209810,Los Angeles,70+ Latino,Zero Day Count
06037403402,Los Angeles,Other,Above Average
06037480901,Los Angeles,Other,Below/Equal Average
06037232120,Los Angeles,70+ Latino,Zero Day Count
06037231500,Los Angeles,50+ Latino,Zero Day Count
06037208710,Los Angeles,Other,Zero Day Count
06037402801,Los Angeles,70+ Latino,Above Average
06037531604,Los Angeles,70+ Latino,Below/Equal Average
06037531102,Los Angeles,70+ Latino,Below/Equal Average
06037231400,Los Angeles,70+ Latino,Zero Day Count
06037228310,Los Angeles,70+ Latino,Zero Day Count
06037203710,Los Angeles,70+ Latino,Below/Equal Average
06037222200,Los Angeles,70+ Latino,Zero Day Count
06037221500,Los Angeles,50+ Latino,Zero Day Count
06037199202,Los Angeles,50+ Latino,Below/Equal Average
06037407400,Los Angeles,50+ Latino,Above Average
06037701302,Los Angeles,70+ NL White,Zero Day Count
06037218900,Los Angeles,Other,Zero Day Count
06037218800,Los Angeles,50+ Latino,Zero Day Count
06037192510,Los Angeles,Other,Below/Equal Average
06037670413,Los Angeles,Other,Zero Day Count
06037504101,Los Angeles,70+ Latino,Below/Equal Average
06037651001,Los Angeles,Other,Zero Day Count
06037650501,Los Angeles,Other,Zero Day Count
06037103102,Los Angeles,50+ NL White,Above Average
06037620602,Los Angeles,50+ NL White,Zero Day Count
06037293302,Los Angeles,Other,Zero Day Count
06037574201,Los Angeles,Other,Zero Day Count
06037571701,Los Angeles,70+ Latino,Zero Day Count
06037570601,Los Angeles,50+ Latino,Zero Day Count
