"GEOID","FULL_NAME","tract","county","state","variable.x","Hispanic","moe.x","variable.y","White","moe.y","variable","Total","moe","Hispanic_Percent","White_Percent","category","Neighborhood_type","indicator_other"
06001400100,"Census Tract 4001; Alameda County; California","Census Tract 4001","Alameda"," California","B03002_012",167,94,"B03002_003",2255,444,"B03002_001",3269,452,5.10859590088712,68.9813398592842,"core","Other",NA
06001400200,"Census Tract 4002; Alameda County; California","Census Tract 4002","Alameda"," California","B03002_012",159,98,"B03002_003",1500,219,"B03002_001",2147,201,7.40568234746157,69.8649278062413,"core","Other",NA
06001400300,"Census Tract 4003; Alameda County; California","Census Tract 4003","Alameda"," California","B03002_012",568,303,"B03002_003",3290,378,"B03002_001",5619,571,10.1085602420359,58.5513436554547,"core","Other",NA
06001400400,"Census Tract 4004; Alameda County; California","Census Tract 4004","Alameda"," California","B03002_012",306,150,"B03002_003",2740,606,"B03002_001",4278,598,7.15287517531557,64.0486208508649,"core","Other",NA
06001400500,"Census Tract 4005; Alameda County; California","Census Tract 4005","Alameda"," California","B03002_012",612,212,"B03002_003",1638,262,"B03002_001",3949,737,15.4975943276779,41.478855406432,"core","Other",NA
06001400600,"Census Tract 4006; Alameda County; California","Census Tract 4006","Alameda"," California","B03002_012",134,62,"B03002_003",905,183,"B03002_001",2058,301,6.511175898931,43.974732750243,"core","Other",NA
06001400700,"Census Tract 4007; Alameda County; California","Census Tract 4007","Alameda"," California","B03002_012",470,185,"B03002_003",2293,422,"B03002_001",4758,572,9.87810004203447,48.192517864649,"core","Other",NA
06001400800,"Census Tract 4008; Alameda County; California","Census Tract 4008","Alameda"," California","B03002_012",387,202,"B03002_003",2228,462,"B03002_001",4335,593,8.92733564013841,51.3956170703576,"core","Other",NA
06001400900,"Census Tract 4009; Alameda County; California","Census Tract 4009","Alameda"," California","B03002_012",533,331,"B03002_003",1052,266,"B03002_001",2844,496,18.7412095639944,36.9901547116737,"core","Other",NA
06001401000,"Census Tract 4010; Alameda County; California","Census Tract 4010","Alameda"," California","B03002_012",1389,621,"B03002_003",2095,531,"B03002_001",6277,896,22.1284052891509,33.3758164728373,"core","Other",NA
06001401100,"Census Tract 4011; Alameda County; California","Census Tract 4011","Alameda"," California","B03002_012",658,274,"B03002_003",2325,455,"B03002_001",5537,544,11.8836915297092,41.9902474264042,"core","Other",NA
06001401200,"Census Tract 4012; Alameda County; California","Census Tract 4012","Alameda"," California","B03002_012",387,144,"B03002_003",1718,307,"B03002_001",2994,329,12.9258517034068,57.3814295257181,"core","Other",NA
06001401300,"Census Tract 4013; Alameda County; California","Census Tract 4013","Alameda"," California","B03002_012",393,148,"B03002_003",1657,307,"B03002_001",4608,404,8.52864583333333,35.9592013888889,"core","Other",NA
06001401400,"Census Tract 4014; Alameda County; California","Census Tract 4014","Alameda"," California","B03002_012",1175,484,"B03002_003",1380,257,"B03002_001",5392,777,21.7915430267062,25.593471810089,"core","Other",NA
06001401500,"Census Tract 4015; Alameda County; California","Census Tract 4015","Alameda"," California","B03002_012",467,264,"B03002_003",662,167,"B03002_001",3035,613,15.3871499176277,21.8121911037891,"core","Other",NA
06001401600,"Census Tract 4016; Alameda County; California","Census Tract 4016","Alameda"," California","B03002_012",697,319,"B03002_003",446,132,"B03002_001",2403,385,29.0054099042863,18.5601331668747,"core","Other",NA
06001401700,"Census Tract 4017; Alameda County; California","Census Tract 4017","Alameda"," California","B03002_012",549,236,"B03002_003",1487,342,"B03002_001",3276,493,16.7582417582418,45.3907203907204,"core","Other",NA
06001401800,"Census Tract 4018; Alameda County; California","Census Tract 4018","Alameda"," California","B03002_012",454,226,"B03002_003",417,114,"B03002_001",1709,273,26.5652428320655,24.4002340550029,"core","Other",NA
06001402200,"Census Tract 4022; Alameda County; California","Census Tract 4022","Alameda"," California","B03002_012",537,198,"B03002_003",747,203,"B03002_001",2337,393,22.9781771501926,31.9640564826701,"core","Other",NA
06001402400,"Census Tract 4024; Alameda County; California","Census Tract 4024","Alameda"," California","B03002_012",228,155,"B03002_003",349,166,"B03002_001",2623,532,8.6923370186809,13.3053755242089,"core","Other",NA
06001402500,"Census Tract 4025; Alameda County; California","Census Tract 4025","Alameda"," California","B03002_012",235,183,"B03002_003",314,239,"B03002_001",2010,363,11.6915422885572,15.6218905472637,"core","Other",NA
06001402600,"Census Tract 4026; Alameda County; California","Census Tract 4026","Alameda"," California","B03002_012",76,74,"B03002_003",123,53,"B03002_001",1300,263,5.84615384615385,9.46153846153846,"core","Other",NA
06001402700,"Census Tract 4027; Alameda County; California","Census Tract 4027","Alameda"," California","B03002_012",347,189,"B03002_003",523,196,"B03002_001",2039,376,17.0181461500736,25.649828347229,"core","Other",NA
