"GEOID","FULL_CENSUS_TRACT_NAME","latino_population","white_population","total_population","latino_percentage","white_percentage","neighborhood_type"
"06001400100","Census Tract 4001; Alameda County; California",167,2255,3269,5.10859590088712,68.9813398592842,"Other"
"06001400200","Census Tract 4002; Alameda County; California",159,1500,2147,7.40568234746157,69.8649278062413,"Other"
"06001400300","Census Tract 4003; Alameda County; California",568,3290,5619,10.1085602420359,58.5513436554547,"Other"
"06001400400","Census Tract 4004; Alameda County; California",306,2740,4278,7.15287517531557,64.0486208508649,"Other"
"06001400500","Census Tract 4005; Alameda County; California",612,1638,3949,15.4975943276779,41.478855406432,"Other"
"06001400600","Census Tract 4006; Alameda County; California",134,905,2058,6.511175898931,43.974732750243,"Other"
"06001400700","Census Tract 4007; Alameda County; California",470,2293,4758,9.87810004203447,48.192517864649,"Other"
"06001400800","Census Tract 4008; Alameda County; California",387,2228,4335,8.92733564013841,51.3956170703576,"Other"
"06001400900","Census Tract 4009; Alameda County; California",533,1052,2844,18.7412095639944,36.9901547116737,"Other"
"06001401000","Census Tract 4010; Alameda County; California",1389,2095,6277,22.1284052891509,33.3758164728373,"Other"
"06001401100","Census Tract 4011; Alameda County; California",658,2325,5537,11.8836915297092,41.9902474264042,"Other"
"06001401200","Census Tract 4012; Alameda County; California",387,1718,2994,12.9258517034068,57.3814295257181,"Other"
"06001401300","Census Tract 4013; Alameda County; California",393,1657,4608,8.52864583333333,35.9592013888889,"Other"
"06001401400","Census Tract 4014; Alameda County; California",1175,1380,5392,21.7915430267062,25.593471810089,"Other"
"06001401500","Census Tract 4015; Alameda County; California",467,662,3035,15.3871499176277,21.8121911037891,"Other"
"06001401600","Census Tract 4016; Alameda County; California",697,446,2403,29.0054099042863,18.5601331668747,"Other"
"06001401700","Census Tract 4017; Alameda County; California",549,1487,3276,16.7582417582418,45.3907203907204,"Other"
"06001401800","Census Tract 4018; Alameda County; California",454,417,1709,26.5652428320655,24.4002340550029,"Other"
"06001402200","Census Tract 4022; Alameda County; California",537,747,2337,22.9781771501926,31.9640564826701,"Other"
"06001402400","Census Tract 4024; Alameda County; California",228,349,2623,8.6923370186809,13.3053755242089,"Other"
"06001402500","Census Tract 4025; Alameda County; California",235,314,2010,11.6915422885572,15.6218905472637,"Other"
"06001402600","Census Tract 4026; Alameda County; California",76,123,1300,5.84615384615385,9.46153846153846,"Other"
"06001402700","Census Tract 4027; Alameda County; California",347,523,2039,17.0181461500736,25.649828347229,"Other"
"06001402801","Census Tract 4028.01; Alameda County; California",148,869,3254,4.54824830977259,26.7055931161647,"Other"
"06001402802","Census Tract 4028.02; Alameda County; California",51,329,1430,3.56643356643357,23.006993006993,"Other"
"06001402900","Census Tract 4029; Alameda County; California",182,365,1828,9.9562363238512,19.9671772428884,"Other"
"06001403000","Census Tract 4030; Alameda County; California",62,250,2897,2.140144977563,8.62961684501208,"Other"
"06001403100","Census Tract 4031; Alameda County; California",241,767,1941,12.4162802679031,39.5157135497166,"Other"
"06001403301","Census Tract 4033.01; Alameda County; California",38,187,1830,2.07650273224044,10.2185792349727,"Other"
"06001403302","Census Tract 4033.02; Alameda County; California",158,1317,2556,6.18153364632238,51.5258215962441,"Other"
"06001403401","Census Tract 4034.01; Alameda County; California",238,1154,2717,8.75966139124034,42.4733161575267,"Other"
"06001403402","Census Tract 4034.02; Alameda County; California",135,493,1134,11.9047619047619,43.4744268077601,"Other"
"06001403501","Census Tract 4035.01; Alameda County; California",387,1874,4904,7.89151712887439,38.2137030995106,"Other"
"06001403502","Census Tract 4035.02; Alameda County; California",324,939,1919,16.8837936425221,48.931735278791,"Other"
