county,Neighborhood_type,Count
Alameda,70+ Latino,5
Alameda,70+ NL White,12
Alameda,Other,362
Alpine,Other,1
Amador,Other,10
Butte,Other,54
Calaveras,Other,14
Colusa,Other,6
Contra Costa,70+ Latino,8
Contra Costa,70+ NL White,30
Contra Costa,Other,204
Del Norte,Other,9
El Dorado,Other,55
Fresno,70+ Latino,61
Fresno,70+ NL White,5
Fresno,Other,159
Glenn,Other,8
Humboldt,Other,36
Imperial,70+ Latino,34
Imperial,Other,6
Inyo,Other,6
Kern,70+ Latino,74
Kern,70+ NL White,20
Kern,Other,142
Kings,70+ Latino,8
Kings,Other,23
Lake,Other,21
Lassen,Other,9
Los Angeles,70+ Latino,685
Los Angeles,70+ NL White,163
Los Angeles,Other,1650
Madera,70+ Latino,15
Madera,70+ NL White,6
Madera,Other,13
Marin,Other,63
Mariposa,Other,6
Mendocino,Other,24
Merced,70+ Latino,22
Merced,Other,41
Modoc,Other,4
Mono,Other,4
Monterey,70+ Latino,41
Monterey,70+ NL White,18
Monterey,Other,45
Napa,Other,40
Nevada,Other,26
Orange,70+ Latino,67
Orange,70+ NL White,79
Orange,Other,468
Placer,Other,92
Plumas,Other,7
Riverside,70+ Latino,108
Riverside,70+ NL White,38
Riverside,Other,372
Sacramento,50+ Latino,16
Sacramento,50+ NL White,147
Sacramento,Other,200
San Benito,Other,12
San Bernardino,70+ Latino,127
San Bernardino,70+ NL White,22
San Bernardino,Other,317
San Diego,70+ Latino,68
San Diego,70+ NL White,130
San Diego,Other,539
San Francisco,Other,244
San Joaquin,70+ Latino,16
San Joaquin,70+ NL White,6
San Joaquin,Other,152
San Luis Obispo,Other,70
San Mateo,70+ Latino,6
San Mateo,70+ NL White,13
San Mateo,Other,155
Santa Barbara,70+ Latino,25
Santa Barbara,70+ NL White,20
Santa Barbara,Other,64
Santa Clara,70+ Latino,10
Santa Clara,70+ NL White,6
Santa Clara,Other,392
Santa Cruz,70+ Latino,15
Santa Cruz,70+ NL White,27
Santa Cruz,Other,28
Shasta,Other,50
Sierra,Other,1
Siskiyou,Other,16
Solano,Other,100
Sonoma,Other,122
Stanislaus,70+ Latino,21
Stanislaus,70+ NL White,6
Stanislaus,Other,85
Sutter,Other,21
Tehama,Other,14
Trinity,Other,4
Tulare,70+ Latino,46
Tulare,70+ NL White,2
Tulare,Other,55
Tuolumne,Other,18
Ventura,70+ Latino,43
Ventura,70+ NL White,28
Ventura,Other,119
Yolo,Other,53
Yuba,Other,19
