tract_id,county_name,total_population,latino_population,white_population,majority_hispanic
06077005127,San Joaquin County,7770,960,3872,False
06077003406,San Joaquin County,6234,566,4526,False
06077004402,San Joaquin County,6815,3544,3271,True
06077001700,San Joaquin County,8822,1785,869,True
06077000401,San Joaquin County,7449,2533,1284,True
06077003404,San Joaquin County,7702,3485,4217,False
06001423000,Alameda County,7947,4943,3004,True
06001450200,Alameda County,9166,1182,2658,False
06001422200,Alameda County,8349,2147,2847,False
06001406201,Alameda County,9667,1906,289,True
06001406400,Alameda County,7863,3105,4758,False
06001428000,Alameda County,2995,1367,1628,False
06001409700,Alameda County,4736,3990,746,True
06001432100,Alameda County,5893,2535,700,True
06001409200,Alameda County,8933,2141,2924,False
06001450741,Alameda County,8013,2712,1463,True
06001440305,Alameda County,6735,1578,2656,False
06001450300,Alameda County,4248,4114,134,True
06001436800,Alameda County,3740,2055,1685,True
06001438400,Alameda County,4443,3173,1121,True
06001423300,Alameda County,6498,1600,4898,False
06001422700,Alameda County,7373,261,4397,False
06001438000,Alameda County,8093,3442,4651,False
06001407800,Alameda County,8129,3898,1375,True
06001436700,Alameda County,1516,437,978,False
06001437900,Alameda County,9768,4987,4093,True
06013389200,Contra Costa County,5359,479,592,False
06013359102,Contra Costa County,7708,2162,3984,False
06013376000,Contra Costa County,4795,2668,2127,True
06013311000,Contra Costa County,3195,1595,491,True
06013334006,Contra Costa County,6392,3661,2378,True
06013345111,Contra Costa County,6684,3199,300,True
06013333102,Contra Costa County,7252,4698,2554,True
06013303204,Contra Costa County,9496,2831,2873,False
06019003804,Fresno County,8654,1670,2790,False
06019004405,Fresno County,4340,1128,602,True
06019004801,Fresno County,7410,4593,970,True
06019007202,Fresno County,7438,4588,306,True
06019007500,Fresno County,5634,1584,963,True
06019003102,Fresno County,4954,663,4291,False
06019005602,Fresno County,6519,1857,1778,True
06019000501,Fresno County,5895,4736,1159,True
06085500100,Santa Clara County,22731,10914,11817,False
06085509107,Santa Clara County,48689,10789,17312,False
06085508403,Santa Clara County,49020,3693,14931,False
06085503210,Santa Clara County,28330,17157,11173,True
06085505303,Santa Clara County,30277,19047,11230,True
06085512030,Santa Clara County,20707,12494,2306,True
06085503510,Santa Clara County,19000,10474,8526,True
06085506703,Santa Clara County,26959,6530,4748,True
06085506202,Santa Clara County,36968,14545,1663,True
06085503709,Santa Clara County,39766,8994,18879,False
06085503504,Santa Clara County,34045,19237,14808,True
06085503208,Santa Clara County,44353,18675,12649,True
06085506302,Santa Clara County,28938,2636,18082,False
06085504411,Santa Clara County,31736,5737,15555,False
06085504410,Santa Clara County,15247,6855,8392,False
06085504319,Santa Clara County,26556,19091,6791,True
06085510803,Santa Clara County,31309,5931,1202,True
06085502002,Santa Clara County,49215,13688,5389,True
06085501502,Santa Clara County,17781,9004,8777,True
06085503110,Santa Clara County,15704,2930,12774,False
06099000807,Stanislaus County,6787,708,3372,False
06099000911,Stanislaus County,9839,4382,3497,True
06099000302,Stanislaus County,3011,1894,759,True
06099002602,Stanislaus County,3555,1469,2086,False
06099003100,Stanislaus County,8838,3319,3011,True
06099002503,Stanislaus County,2531,1943,588,True
06099003300,Stanislaus County,4544,2059,2485,False
06099002604,Stanislaus County,6063,1902,4161,False
06027000200,Inyo County,1839,723,1116,False
06053001400,Monterey County,8471,3823,4648,False
06053012700,Monterey County,6346,4190,2156,True
06053013700,Monterey County,7900,3270,1782,True
06053013900,Monterey County,5853,1254,4599,False
06069000400,San Benito County,6795,3291,1796,True
06087100100,Santa Cruz County,5844,1545,4299,False
06087100600,Santa Cruz County,8945,3283,2657,True
06091010000,Sierra County,6092,198,2300,False
06115040500,Yuba County,8410,4533,3877,True
06081612800,San Mateo County,7225,3334,3891,False
06081608100,San Mateo County,4427,4167,260,True
06081610400,San Mateo County,6199,4593,1400,True
06081606000,San Mateo County,5714,4087,1627,True
06081607600,San Mateo County,6515,1318,4596,False
06081607702,San Mateo County,6039,3204,2835,True
06081601200,San Mateo County,5719,1054,4665,False
06081604900,San Mateo County,3946,1145,1793,False
06081600600,San Mateo County,3936,662,2585,False
06081602100,San Mateo County,6395,3454,325,True
06047000602,Merced County,5707,1059,4648,False
06047001301,Merced County,8496,915,4854,False
06075032700,San Francisco County,42410,12312,8679,True
06075035300,San Francisco County,31305,19589,11716,True
06075047702,San Francisco County,22453,4444,11757,False
06075060502,San Francisco County,37635,2060,19711,False
06075012700,San Francisco County,14769,1301,13468,False
06075020300,San Francisco County,12682,1190,11492,False
06075022902,San Francisco County,40743,7102,18568,False
06075026002,San Francisco County,24778,2816,1569,True
06075030201,San Francisco County,43210,2895,4863,False
06041121200,Marin County,7955,4114,3001,True
06101050201,Sutter County,3363,3109,254,True
06063000202,Plumas County,5041,4157,884,True
06079010703,San Luis Obispo County,8596,4441,2906,True
06007000300,Butte County,4496,1941,2555,False
06007002900,Butte County,9216,3050,4231,False
06007000502,Butte County,6683,4215,2468,True
06023010102,Humboldt County,7396,4595,2801,True
06023000200,Humboldt County,9663,1266,2874,False
06023000700,Humboldt County,8082,4246,3836,True
06023010200,Humboldt County,4269,674,3361,False
06065046101,Riverside County,6692,1815,4877,False
06065046103,Riverside County,5351,2591,2760,False
06065031001,Riverside County,3624,3151,104,True
06065043211,Riverside County,5945,4969,976,True
06065043505,Riverside County,9683,4242,4464,False
06065044101,Riverside County,4965,735,1793,False
06065041810,Riverside County,5252,219,930,False
06065030503,Riverside County,5677,1469,840,True
06065042517,Riverside County,8808,2938,1250,True
06065042521,Riverside County,8060,2031,1112,True
06065042514,Riverside County,6010,1181,4829,False
06065042405,Riverside County,3608,2949,659,True
06065043314,Riverside County,8126,4683,3443,True
06065045109,Riverside County,6469,4899,1570,True
06065040702,Riverside County,5641,2394,3247,False
06109005201,Tuolumne County,5385,1779,3606,False
06107001006,Tulare County,7753,2844,3456,False
06107003802,Tulare County,9935,3218,2241,True
06107003001,Tulare County,7325,2579,4746,False
06073003212,San Diego County,7921,1857,4552,False
06073013104,San Diego County,6381,2949,3351,False
06073020902,San Diego County,7890,3830,2589,True
06073015902,San Diego County,9707,1448,4711,False
06073004501,San Diego County,5127,435,4692,False
06073002002,San Diego County,9587,3646,951,True
06073012302,San Diego County,5877,2031,3846,False
06073011601,San Diego County,5768,1668,4100,False
06073009603,San Diego County,6436,2838,3598,False
06073008510,San Diego County,6232,4013,1166,True
06073002708,San Diego County,8223,4480,2544,True
06073001000,San Diego County,7542,3473,4069,False
06073003902,San Diego County,9445,2182,2874,False
06073013102,San Diego County,9467,1725,3169,False
06073004800,San Diego County,930,214,716,False
06073013802,San Diego County,4474,3367,925,True
06073020705,San Diego County,8168,1616,3246,False
06073020208,San Diego County,4276,828,3448,False
06073019501,San Diego County,7664,2908,775,True
06073019405,San Diego County,6488,2604,3067,False
06073018519,San Diego County,5401,1222,4179,False
06073018511,San Diego County,4030,2243,1787,True
06073017809,San Diego County,8183,4232,3951,True
06073017603,San Diego County,6292,3866,2426,True
06073017018,San Diego County,4747,4052,695,True
06073016806,San Diego County,6057,1465,4592,False
06073016401,San Diego County,4766,495,4271,False
06073008358,San Diego County,4860,2602,1919,True
06073008337,San Diego County,6559,2882,3677,False
06017030601,El Dorado County,5986,243,3240,False
06017030603,El Dorado County,7766,4591,3038,True
06031001402,Kings County,7058,3736,3322,True
06031000701,Kings County,3878,2716,1162,True
06083001800,Santa Barbara County,6476,3082,3394,False
06083002708,Santa Barbara County,5229,1256,832,True
06083000900,Santa Barbara County,5999,4946,1053,True
06083002209,Santa Barbara County,6825,3424,3401,True
06045010802,Mendocino County,4384,1291,3093,False
06045010900,Mendocino County,7438,2781,1317,True
06061021003,Placer County,5822,3336,2486,True
06061023900,Placer County,2379,599,1780,False
06089010400,Shasta County,9202,4412,1424,True
06097153809,Sonoma County,9847,1927,3241,False
06097151306,Sonoma County,7919,3586,1910,True
06097151504,Sonoma County,7088,3023,2314,True
06095252314,Solano County,4686,813,3702,False
06095252502,Solano County,9797,4848,4949,False
06095253101,Solano County,9935,3809,1181,True
06095250200,Solano County,7119,555,994,False
06095252107,Solano County,6481,2096,4385,False
06015000202,Del Norte County,2945,1314,1631,False
06113010902,Yolo County,8076,923,1028,False
06113011400,Yolo County,5529,233,2205,False
06113010901,Yolo County,6832,4880,1952,True
06113011101,Yolo County,7308,4275,3033,True
06055200504,Napa County,5848,1350,3612,False
06055200501,Napa County,6690,1356,3476,False
06067009105,Sacramento County,7270,3586,3684,False
06067008905,Sacramento County,8553,3430,2803,True
06067009110,Sacramento County,9162,1453,2883,False
06067007209,Sacramento County,5563,457,3119,False
06067006002,Sacramento County,8075,767,4568,False
06067007904,Sacramento County,9837,4285,3819,True
06067008122,Sacramento County,3518,639,2879,False
06067005701,Sacramento County,9171,4236,4935,False
06067001400,Sacramento County,5487,2608,2879,False
06067002800,Sacramento County,4737,3056,1681,True
06067005102,Sacramento County,8214,3424,4585,False
06067008208,Sacramento County,6213,355,4904,False
06067007208,Sacramento County,2338,2044,109,True
06067008913,Sacramento County,3371,897,1115,False
06067004100,Sacramento County,4581,323,4258,False
06067004906,Sacramento County,8984,4884,4100,True
06067009610,Sacramento County,2862,2252,610,True
06029003807,Kern County,5217,504,4713,False
06029000800,Kern County,4624,2856,1768,True
06029004101,Kern County,6489,1560,3736,False
06029006301,Kern County,6426,4278,2148,True
06029001101,Kern County,5460,816,4644,False
06029006500,Kern County,6606,4683,1923,True
06029002811,Kern County,3919,1674,349,True
06037670413,Los Angeles County,48125,18154,5363,True
06037650101,Los Angeles County,47944,18461,9427,True
06037620303,Los Angeles County,46348,5858,11040,False
06037574000,Los Angeles County,28724,16254,12470,True
06037571400,Los Angeles County,21169,7996,13173,False
06037571300,Los Angeles County,42441,16781,14051,True
06037601502,Los Angeles County,44649,7949,10521,False
06037603400,Los Angeles County,19150,7941,11209,False
06037552601,Los Angeles County,22715,10550,5637,True
06037554518,Los Angeles County,30884,11320,19564,False
06037106604,Los Angeles County,42660,8043,17521,False
06037541100,Los Angeles County,24856,5164,8941,False
06037543304,Los Angeles County,19388,6569,5300,True
06037541801,Los Angeles County,44037,4818,13015,False
06037600703,Los Angeles County,26494,18144,8350,True
